Day,Coffee Type,Units Sold
 Monday , Espresso ,25
Monday,Latte,15
 Tuesday , ESPRESSO!! ,30a
Tuesday,"Latte latte",20
Wednesday , espresso  ,"35 "
Wednesday,  LATTE  , 25
 Thursday,Espresso ,40
Thursday ,LATTE, 30
Friday ,Espresso,
Friday , Latte ,35
Saturday ,Espress0,45
 Saturday,Latte ,35
Sunday ,  espresso ,45
Sunday , latte?? ,35
Mon-day , ESPRESSO , 25
monday  , latte ,15
MONDAY,   espresso   ,  25
monday!!! , LATTE ,15
tuesDay , espresso ,   30
tuesday , LATTE ,20
Wednesday ,,
Wednes-day , ESPRESSO ,35
wednesday , latte , 25
wedNesday!!! , ESPRESSO ,"35 "
 ThurSday , ESPRESSO ,40
thursday,Latte ,30
thursday , LATTE LATTE ,30
friday , espresso ,"45 "
fri-day , LATTE ,35
friday,ESPRESSO,45
saturday , latte ,35
sunday , ESPRESSO ,45
sundAy , latte ,35
null , espresso ,25
NA ,latte, 30
" ", cappuccino ,40
monday,americano , 22
tuesday , CAPPUCCINO ,33
wednesday , Americano , 11
thursday , ?espresso? , 44
friday , latte , -1
saturday , latte , 0
sunday , ,
monday , ESPRESSO ,
tuesday ,LATTE,NA
wednesday ,espresso , ??
thursday ,latte , "3 5"
friday ,cappucCino ,47
saturday ,ameri cano , 29
sunday , espress o , 50
mon day ,latte ,15
tue sday ,espresso ,28
wednes day , latte ,21
fri day , espresso ,43
 satur day , latte ,38
sun day , espresso ,49
MONDAY , LATTE ,15
MONDAY , LATTE ,15
monday ,latte ,15
friDay , espressO ,45
thurSday , espress O ,40
thursday  , latte ,  32
wednes-day , cappuccino , 27
2023-05-20 , espresso , 30
2023/05/21 , latte , 31
05-22-2023 , americano , 33
05/23/2023 , espresso , 34
2023.05.24 , latte , 35
-,espresso,40
xxx , latte ,20
??? , espresso ,22
monday ,LATTE ,35
monDAY ,espressO ,37
TUESDAY ,Cappuccino ,29
WedNESday ,Americano ,18
THUrsday ,Latte ,39
FRIday ,espresso ,44
SATurday ,Latte ,41
SUnday ,Espresso ,48
