Day,Coffee Type,Units Sold
Monday,Espresso,25
 Monday , latte ,15
tuesday , ESPRESSO , 30a
tuesday,latte, 20
Wednes day, Espresso ,3.5
Wednesday ,LATTE ,25
Thurs day,Espresso,40
THURSDAY , LaTTe ,30
Friday , ESPRESSO ,45
Fri day ,Latte, 35
Saturday, espresso ,45
Satur day , latte ,35
Sunday ,Espresso ,45
Sunday , LATTE ,35
null ,Espresso ,25
NA ,Latte,30
Monday ,Cappuccino ,40
MONDAY, Americano ,22
Tues day,Cappuccino,33
Wednesday,Americano,11
Thursday, ESPRESSO ,44
Friday,Latte,-1
Saturday,Latte,0
Sunday, Latte ,33
Monday, Espresso,33
Tuesday , latte ,33
Wednesday , Espresso ,33
Thursday , LATTE ,33
Friday , cappuccino ,47
Saturday, americano ,29
Sunday, espresso ,50
mon day, Latte,15
tue sday ,Espresso ,28
wednes day ,Latte,21
fri day,Espresso,43
satur day,LatTe,38
sun day ,Espresso ,49
Monday,Latte,15
Monday,Latte,15
Friday,Espresso,45
Thursday, espresso ,40
Thursday,  LATTE,32
Wednesday , cappuccino ,27
Monday,Espresso??, 27
Tuesday , Latte?? , 31
Wednesday , Cappuccino!, 44
Thursday , Americano , 22
Friday , Latte , 37
Saturday , Espresso , 33
Sunday , LATTE!! , 41
Monday , espresso , 29
Tuesday , latte , 19
Wednesday , espresso , 31
Thursday , latte , 28
Friday , cappuccino , 26
Saturday , americano , 32
Sunday , espresso , 30
Monday , Latte, 18
Tuesday , Espresso , 20
Wednesday , LATTE , 30
Thursday , Espresso , 45
Friday , Cappuccino , 35
Saturday , Latte ,
Sunday , Espresso , null
Monday , Latte , -5
Tuesday , Espresso , 55
Wednesday , Latte , 23
Thursday,,40
,Espresso,33
NA,,15
null,Latte,
- , Espresso , 22
SUN DAY , LATTE , 31
FrIdAy , ESPRESSO , 40
Tue s day , CAPPUCCINO , 27
Mon day , LATTE , 28
Mond ay,Latte , 35
Wednes day,Latte, 38
Thu rs day, Cappuccino, 29
Fri day, Americano, 19
satur day ,Espresso, 51
Sun day,Latte , 33
Mon day , espresso , 44
Tue sday , latte , 14
Wednes day , cappuccino , 39
Thursday , Americano , -2
Friday , latte , 21
Saturday , espresso , 47
Sunday , latte , 40
