athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
1,jeanfranois blanchy,1886-12-12 00:00:00,bordeaux,gironde,fra,france,176.0,70.0,19601002
2,arnaud boetsch,1969-04-01 00:00:00,meulan,yvelines,fra,france,183.0,76.0,unknown
3,jean borotra,1898-08-13 00:00:00,biarritz,pyrnesatlantiques,fra,france,183.0,76.0,19940717
4,jacques brugnon,1895-05-11 00:00:00,paris viiie,paris,fra,france,168.0,64.0,19780320
5,albert canet,1878-04-17 00:00:00,wandsworth,england,gbr,france,176.0,70.0,19300725
6,nicolas chatelain,1970-01-13 00:00:00,amiens,somme,fra,france,181.0,70.0,unknown
7,patrick chila,1969-11-27 00:00:00,risorangis,essonne,fra,france,180.0,73.0,unknown
8,henri cochet,1901-12-14 00:00:00,villeurbanne,rhne,fra,france,176.0,70.0,19870402
9,marcel cousin,1896-08-04 00:00:00,nmes,gard,fra,france,176.0,70.0,19860801
10,guy de la chapelle,1868-07-16 00:00:00,fargesallichamps,cher,fra,france,176.0,70.0,19230827
11,lie comte de lastours,1874-08-12 00:00:00,orgeval,yvelines,fra,france,176.0,70.0,19321118
12,max decugis,1882-09-24 00:00:00,paris xvie,paris,fra,france,176.0,70.0,19780906
13,j defert,unknown,unknown,unknown,unknown,france,176.0,70.0,unknown
14,tienne durand,unknown,unknown,unknown,unknown,france,176.0,70.0,unknown
15,damien loi,1969-07-04 00:00:00,vire,calvados,fra,france,165.0,58.0,unknown
16,adrien fauchiermagnan,1873-11-19 00:00:00,paris viiie,paris,fra,france,176.0,70.0,19650806
17,guy forget,1965-01-04 00:00:00,casablanca,casablancasettat,mar,france,189.0,79.0,unknown
18,jeanphilippe gatien,1968-10-16 00:00:00,als,gard,fra,france,178.0,73.0,unknown
19,maurice germot,1882-11-15 00:00:00,vichy,allier,fra,france,176.0,70.0,19580806
20,andr gobert,1890-09-30 00:00:00,paris xviie,paris,fra,france,176.0,70.0,19511206
21,pierre hirsch,1900-11-08 00:00:00,paris ie,paris,fra,france,176.0,70.0,19420419
22,ren lacoste,1904-07-02 00:00:00,paris xe,paris,fra,france,176.0,70.0,19961012
23,daniel lawton,1881-11-27 00:00:00,cantenac,gironde,fra,france,176.0,70.0,19790327
24,paul lebreton,1875-10-19 00:00:00,paris iie,paris,fra,france,176.0,70.0,19600331
25,paul lecaron,1863-07-29 00:00:00,neuillysurseine,hautsdeseine,fra,france,176.0,70.0,19400917
26,henri leconte,1963-07-04 00:00:00,lillers,pasdecalais,fra,france,184.0,78.0,unknown
27,christophe legot,1973-08-06 00:00:00,montbliard,doubs,fra,france,177.0,75.0,unknown
28,guy baron lejeune,unknown,unknown,unknown,unknown,france,176.0,70.0,unknown
29,albert lippmann,unknown,unknown,unknown,unknown,france,176.0,70.0,unknown
30,douard mny de marangue,1882-11-30 00:00:00,paris vie,paris,fra,france,176.0,70.0,19600123
31,andr prvost,1875-02-28 00:00:00,paris viiie,paris,fra,france,176.0,70.0,19511122
32,guillaume raoux,1970-02-14 00:00:00,bagnolssurcze,gard,fra,france,180.0,77.0,unknown
33,stphane renault,1968-03-01 00:00:00,barfleur,manche,fra,france,180.0,72.0,unknown
34,jeanpierre samazeuilh,1891-01-17 00:00:00,bordeaux,gironde,fra,france,176.0,70.0,19650413
35,fabrice santoro,1972-12-09 00:00:00,tahiti,les du vent,fpn,france,177.0,68.0,unknown
36,tienne thobois,1967-09-20 00:00:00,amiens,somme,fra,france,186.0,78.0,unknown
37,pierre verddelisle,1877-05-16 00:00:00,trielaville,oise,fra,france,176.0,70.0,19600718
38,helen aitchison,1881-12-06 00:00:00,sunderland,england,gbr,great britain,176.0,70.0,19470526
39,geraldine beamish,1883-06-23 00:00:00,forest gate,england,gbr,great britain,176.0,70.0,19720510
40,dora boothby,1881-08-02 00:00:00,finchley,england,gbr,great britain,176.0,70.0,19700222
41,julie bradbury,1967-02-12 00:00:00,oxford,england,gbr,great britain,175.0,64.0,unknown
42,gillian clark,1961-09-02 00:00:00,baghdad,baghdad,irq,great britain,176.0,68.0,unknown
