athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
1,jeanfranois blanchy,1886-12-12,bordeaux,gironde,fra,france,176.0,70.0,1960-10-02
2,arnaud boetsch,1969-04-01,meulan,yvelines,fra,france,183.0,76.0,unknown
3,jean borotra,1898-08-13,biarritz,pyrnesatlantiques,fra,france,183.0,76.0,1994-07-17
4,jacques brugnon,1895-05-11,paris viiie,paris,fra,france,168.0,64.0,1978-03-20
5,albert canet,1878-04-17,wandsworth,england,gbr,france,176.0,70.0,1930-07-25
6,nicolas chatelain,1970-01-13,amiens,somme,fra,france,181.0,70.0,unknown
7,patrick chila,1969-11-27,risorangis,essonne,fra,france,180.0,73.0,unknown
8,henri cochet,1901-12-14,villeurbanne,rhne,fra,france,176.0,70.0,1987-04-02
9,marcel cousin,1896-08-04,nmes,gard,fra,france,176.0,70.0,1986-08-01
10,guy de la chapelle,1868-07-16,fargesallichamps,cher,fra,france,176.0,70.0,1923-08-27
11,lie comte de lastours,1874-08-12,orgeval,yvelines,fra,france,176.0,70.0,1932-11-18
12,max decugis,1882-09-24,paris xvie,paris,fra,france,176.0,70.0,1978-09-06
13,j defert,unknown,na,na,na,france,176.0,70.0,unknown
14,tienne durand,unknown,na,na,na,france,176.0,70.0,unknown
15,damien loi,1969-07-04,vire,calvados,fra,france,165.0,58.0,unknown
16,adrien fauchiermagnan,1873-11-19,paris viiie,paris,fra,france,176.0,70.0,1965-08-06
17,guy forget,1965-01-04,casablanca,casablancasettat,mar,france,189.0,79.0,unknown
18,jeanphilippe gatien,1968-10-16,als,gard,fra,france,178.0,73.0,unknown
19,maurice germot,1882-11-15,vichy,allier,fra,france,176.0,70.0,1958-08-06
20,andr gobert,1890-09-30,paris xviie,paris,fra,france,176.0,70.0,1951-12-06
21,pierre hirsch,1900-11-08,paris ie,paris,fra,france,176.0,70.0,1942-04-19
22,ren lacoste,1904-07-02,paris xe,paris,fra,france,176.0,70.0,1996-10-12
23,daniel lawton,1881-11-27,cantenac,gironde,fra,france,176.0,70.0,1979-03-27
24,paul lebreton,1875-10-19,paris iie,paris,fra,france,176.0,70.0,1960-03-31
25,paul lecaron,1863-07-29,neuillysurseine,hautsdeseine,fra,france,176.0,70.0,1940-09-17
26,henri leconte,1963-07-04,lillers,pasdecalais,fra,france,184.0,78.0,unknown
27,christophe legot,1973-08-06,montbliard,doubs,fra,france,177.0,75.0,unknown
28,guy baron lejeune,unknown,na,na,na,france,176.0,70.0,unknown
29,albert lippmann,unknown,na,na,na,france,176.0,70.0,unknown
30,douard mny de marangue,1882-11-30,paris vie,paris,fra,france,176.0,70.0,1960-01-23
31,andr prvost,1875-02-28,paris viiie,paris,fra,france,176.0,70.0,1951-11-22
32,guillaume raoux,1970-02-14,bagnolssurcze,gard,fra,france,180.0,77.0,unknown
33,stphane renault,1968-03-01,barfleur,manche,fra,france,180.0,72.0,unknown
34,jeanpierre samazeuilh,1891-01-17,bordeaux,gironde,fra,france,176.0,70.0,1965-04-13
35,fabrice santoro,1972-12-09,tahiti,les du vent,fpn,france,177.0,68.0,unknown
36,tienne thobois,1967-09-20,amiens,somme,fra,france,186.0,78.0,unknown
37,pierre verddelisle,1877-05-16,trielaville,oise,fra,france,176.0,70.0,1960-07-18
38,helen aitchison,1881-12-06,sunderland,england,gbr,great britain,176.0,70.0,1947-05-26
39,geraldine beamish,1883-06-23,forest gate,england,gbr,great britain,176.0,70.0,1972-05-10
40,dora boothby,1881-08-02,finchley,england,gbr,great britain,176.0,70.0,1970-02-22
41,julie bradbury,1967-02-12,oxford,england,gbr,great britain,175.0,64.0,unknown
42,gillian clark,1961-09-02,baghdad,baghdad,irq,great britain,176.0,68.0,unknown
43,mildred coles,1876-04-09,cranbrook,england,gbr,great britain,176.0,70.0,1937-02-24
44,evelyn colyer,1902-08-16,wandsworth,england,gbr,great britain,176.0,70.0,1930-11-04
45,charlotte cooper,1870-09-22,ealing,england,gbr,great britain,176.0,70.0,1966-10-10
